               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.027944,            0.024112,           0.0088922,             0.78716,             0.69553,             0.75709,             0.51998,            0.031423,            0.018264,            0.010258,           0.0093369,           0.0093369,           0.0093369
                  37,            0.027819,            0.023919,           0.0083457,             0.79979,             0.69708,             0.76219,             0.52427,            0.031325,            0.018235,             0.01054,           0.0092995,           0.0092995,           0.0092995
                  38,            0.028095,            0.024552,           0.0092876,             0.76284,             0.70836,             0.75747,              0.5207,            0.031341,             0.01856,            0.010292,           0.0092611,           0.0092611,           0.0092611
                  39,            0.027575,             0.02367,           0.0084148,             0.77808,             0.70163,             0.75651,             0.52151,            0.031037,            0.018544,           0.0098313,           0.0092219,           0.0092219,           0.0092219
                  40,            0.027443,            0.023589,           0.0084518,             0.77873,             0.71536,             0.76685,              0.5301,            0.031125,            0.018254,           0.0098857,           0.0091817,           0.0091817,           0.0091817
                  41,            0.027153,            0.023659,           0.0082315,             0.80393,             0.69691,             0.76808,             0.53287,            0.030789,            0.018261,           0.0094368,           0.0091406,           0.0091406,           0.0091406
                  42,            0.027005,            0.023178,           0.0078264,             0.79423,             0.70545,             0.76878,             0.53231,            0.031017,            0.018381,           0.0094833,           0.0090986,           0.0090986,           0.0090986
                  43,            0.026992,            0.023284,           0.0080265,             0.79763,             0.70132,             0.76689,             0.53284,             0.03129,            0.018475,           0.0096743,           0.0090557,           0.0090557,           0.0090557
                  44,            0.026606,            0.022876,           0.0077524,             0.77413,             0.72327,             0.76299,             0.52942,            0.030851,            0.018404,           0.0099782,           0.0090119,           0.0090119,           0.0090119
                  45,             0.02673,            0.023153,           0.0084659,             0.78227,              0.7212,             0.76768,             0.53446,            0.030674,            0.018306,           0.0097693,           0.0089673,           0.0089673,           0.0089673
                  46,            0.027036,            0.023308,           0.0083444,             0.79342,             0.71683,             0.77043,             0.53536,            0.030724,            0.018281,           0.0096623,           0.0089218,           0.0089218,           0.0089218
                  47,            0.026783,            0.022655,           0.0074748,             0.78595,             0.72352,             0.77109,             0.53806,            0.030909,            0.018493,           0.0096683,           0.0088755,           0.0088755,           0.0088755
                  48,            0.026265,            0.022716,           0.0071447,             0.79566,             0.71779,             0.77166,             0.54179,            0.030608,            0.018439,           0.0092044,           0.0088283,           0.0088283,           0.0088283
                  49,            0.026214,            0.022121,           0.0072057,             0.80581,             0.71011,             0.77291,             0.54351,            0.030624,            0.018629,           0.0096327,           0.0087804,           0.0087804,           0.0087804
                  50,            0.025964,            0.022517,            0.007378,             0.80456,             0.72317,             0.78054,             0.54915,            0.030328,            0.018431,           0.0085963,           0.0087316,           0.0087316,           0.0087316
                  51,            0.025724,            0.022195,           0.0068686,             0.80759,             0.72135,             0.77821,             0.54976,            0.030469,            0.018458,           0.0091492,            0.008682,            0.008682,            0.008682
                  52,             0.02554,            0.022061,           0.0069643,             0.79603,              0.7257,             0.77514,             0.54587,             0.03051,            0.018677,           0.0096223,           0.0086316,           0.0086316,           0.0086316
                  53,            0.025486,            0.022263,           0.0072485,             0.80105,             0.72255,             0.77802,             0.54961,            0.030581,            0.018657,           0.0093993,           0.0085805,           0.0085805,           0.0085805
                  54,            0.025881,            0.022476,           0.0074812,             0.79063,             0.73103,              0.7791,             0.54732,            0.030581,            0.018378,           0.0090789,           0.0085286,           0.0085286,           0.0085286
                  55,            0.025587,            0.022161,           0.0073298,             0.80564,             0.72219,             0.77589,             0.54789,            0.030612,            0.018553,           0.0092257,           0.0084759,           0.0084759,           0.0084759
                  56,            0.025683,            0.022188,           0.0074271,             0.78859,              0.7363,             0.77519,             0.54677,            0.030546,            0.018478,           0.0091208,           0.0084225,           0.0084225,           0.0084225
                  57,            0.025944,            0.022709,           0.0077383,             0.80733,             0.71807,              0.7763,             0.54534,            0.030491,            0.018427,           0.0093308,           0.0083684,           0.0083684,           0.0083684
                  58,            0.025525,            0.022043,            0.007308,             0.79693,             0.72711,             0.77758,              0.5484,            0.030413,            0.018631,           0.0092039,           0.0083136,           0.0083136,           0.0083136
                  59,            0.025299,            0.021991,           0.0068654,             0.81537,             0.71626,              0.7784,             0.55151,            0.030398,            0.018609,           0.0093554,           0.0082581,           0.0082581,           0.0082581
